individual_id,customer_age_group,age_range,household_income_band,is_current_customer,state
IND100000,45-54,45-54,75K-100K,Y,IL
IND100001,45-54,45-54,75K-100K,Y,NY
IND100002,35-44,35-44,50K-75K,Y,PA
IND100003,25-34,25-34,75K-100K,Y,NM
IND100004,65+,65+,100K-150K,Y,IL
IND100005,45-54,45-54,75K-100K,Y,WA
IND100006,45-54,45-54,50K-75K,Y,NC
IND100007,55-64,55-64,50K-75K,Y,PA
IND100008,55-64,55-64,100K-150K,Y,GA
IND100009,45-54,45-54,150K+,Y,CA
IND100010,35-44,35-44,150K+,Y,NM
IND100011,55-64,55-64,100K-150K,Y,PA
IND100012,55-64,55-64,150K+,Y,GA
IND100013,65+,65+,75K-100K,Y,PA
IND100014,55-64,55-64,100K-150K,Y,FL
IND100015,45-54,45-54,150K+,Y,IL
IND100016,45-54,45-54,100K-150K,Y,MI
IND100017,25-34,25-34,50K-75K,Y,TX
IND100018,55-64,55-64,75K-100K,Y,WA
IND100019,45-54,45-54,50K-75K,Y,PA
IND100020,45-54,45-54,100K-150K,Y,WA
IND100021,65+,65+,<50K,Y,GA
IND100022,45-54,45-54,75K-100K,Y,TX
IND100023,45-54,45-54,75K-100K,Y,OH
IND100024,45-54,45-54,75K-100K,Y,IL
IND100025,45-54,45-54,75K-100K,Y,TX
IND100026,45-54,45-54,100K-150K,Y,PA
IND100027,55-64,55-64,75K-100K,Y,CO
IND100028,55-64,55-64,150K+,Y,GA
IND100029,35-44,35-44,100K-150K,Y,CO
IND100030,35-44,35-44,100K-150K,Y,OH
IND100031,35-44,35-44,100K-150K,Y,AZ
IND100032,35-44,35-44,75K-100K,Y,MI
IND100033,65+,65+,75K-100K,Y,OH
IND100034,65+,65+,150K+,Y,NC
IND100035,65+,65+,50K-75K,Y,MA
IND100036,55-64,55-64,<50K,Y,NY
IND100037,45-54,45-54,150K+,Y,GA
IND100038,55-64,55-64,75K-100K,Y,TX
IND100039,45-54,45-54,100K-150K,Y,WA
IND100040,55-64,55-64,75K-100K,Y,TX
IND100041,65+,65+,50K-75K,Y,WA
IND100042,35-44,35-44,100K-150K,Y,PA
IND100043,65+,65+,50K-75K,Y,MI
IND100044,35-44,35-44,50K-75K,Y,MI
IND100045,55-64,55-64,50K-75K,Y,TX
IND100046,45-54,45-54,150K+,Y,FL
IND100047,25-34,25-34,100K-150K,Y,WA
IND100048,45-54,45-54,100K-150K,Y,OH
IND100049,35-44,35-44,75K-100K,Y,NM
IND100050,35-44,35-44,100K-150K,Y,GA
IND100051,55-64,55-64,50K-75K,Y,NY
IND100052,45-54,45-54,150K+,Y,FL
IND100053,25-34,25-34,50K-75K,Y,PA
IND100054,45-54,45-54,75K-100K,Y,NM
IND100055,35-44,35-44,75K-100K,Y,NC
IND100056,35-44,35-44,75K-100K,Y,AZ
IND100057,55-64,55-64,100K-150K,Y,NY
IND100058,25-34,25-34,150K+,Y,MI
IND100059,35-44,35-44,100K-150K,Y,OH
IND100060,45-54,45-54,100K-150K,Y,MA
IND100061,35-44,35-44,50K-75K,Y,WA
IND100062,45-54,45-54,<50K,Y,WA
IND100063,35-44,35-44,100K-150K,Y,OH
IND100064,55-64,55-64,<50K,Y,OH
IND100065,65+,65+,100K-150K,Y,FL
IND100066,55-64,55-64,100K-150K,Y,FL
IND100067,55-64,55-64,75K-100K,Y,OH
IND100068,55-64,55-64,150K+,Y,CO
IND100069,25-34,25-34,75K-100K,Y,GA
IND100070,25-34,25-34,150K+,Y,NY
IND100071,45-54,45-54,100K-150K,Y,FL
IND100072,55-64,55-64,150K+,Y,NC
IND100073,35-44,35-44,100K-150K,Y,GA
IND100074,65+,65+,<50K,Y,TX
IND100075,55-64,55-64,75K-100K,Y,NY
IND100076,55-64,55-64,75K-100K,Y,OH
IND100077,35-44,35-44,50K-75K,Y,WA
IND100078,25-34,25-34,50K-75K,Y,CO
IND100079,55-64,55-64,75K-100K,Y,IL
IND100080,35-44,35-44,100K-150K,Y,NM
IND100081,55-64,55-64,75K-100K,Y,WA
IND100082,65+,65+,75K-100K,Y,GA
IND100083,55-64,55-64,<50K,Y,CO
IND100084,55-64,55-64,150K+,Y,NY
