individual_id,region,gender_code,zip_code,num_children,children_flag
IND100000,Midwest,M,25235,2,Y
IND100001,Northeast,M,63080,0,N
IND100002,Northeast,F,56294,0,N
IND100003,Southwest,M,63485,2,Y
IND100004,Midwest,F,80839,0,N
IND100005,West,M,52460,0,N
IND100006,Southeast,M,24014,0,N
IND100007,Northeast,F,98795,0,N
IND100008,Southeast,M,76994,0,N
IND100009,West,F,47644,3,Y
IND100010,Southwest,F,93703,2,Y
IND100011,Northeast,M,23821,3,Y
IND100012,Southeast,M,27680,0,N
IND100013,Northeast,M,40273,0,N
IND100014,Southeast,F,23183,3,Y
IND100015,Midwest,M,81752,1,Y
IND100016,Midwest,M,93424,0,N
IND100017,Southwest,M,58864,1,Y
IND100018,West,M,32978,1,Y
IND100019,Northeast,M,52221,3,Y
IND100020,West,M,46040,1,Y
IND100021,Southeast,F,83756,2,Y
IND100022,Southwest,F,25695,0,N
IND100023,Midwest,M,65223,1,Y
IND100024,Midwest,M,77093,0,N
IND100025,Southwest,M,31716,0,N
IND100026,Northeast,M,64403,2,Y
IND100027,West,M,81177,1,Y
IND100028,Southeast,M,14476,1,Y
IND100029,West,M,52559,3,Y
IND100030,Midwest,M,65726,1,Y
IND100031,Southwest,M,84629,2,Y
IND100032,Midwest,M,45699,1,Y
IND100033,Midwest,M,79696,0,N
IND100034,Southeast,F,33228,2,Y
IND100035,Northeast,F,36363,2,Y
IND100036,Northeast,M,88866,3,Y
IND100037,Southeast,M,73804,0,N
IND100038,Southwest,M,45861,2,Y
IND100039,West,M,45392,1,Y
IND100040,Southwest,M,47341,0,N
IND100041,West,F,22715,1,Y
IND100042,Northeast,M,52220,0,N
IND100043,Midwest,M,81090,0,N
IND100044,Midwest,U,21597,1,Y
IND100045,Southwest,M,73548,0,N
IND100046,Southeast,F,90810,3,Y
IND100047,West,F,44174,1,Y
IND100048,Midwest,F,28955,1,Y
IND100049,Southwest,F,97785,3,Y
IND100050,Southeast,M,28598,0,N
IND100051,Northeast,F,89789,2,Y
IND100052,Southeast,M,87843,1,Y
IND100053,Northeast,M,54597,0,N
IND100054,Southwest,M,30740,1,Y
IND100055,Southeast,M,63799,2,Y
IND100056,Southwest,M,16393,0,N
IND100057,Northeast,M,50142,2,Y
IND100058,Midwest,M,38503,3,Y
IND100059,Midwest,F,11463,2,Y
IND100060,Northeast,F,11027,0,N
IND100061,West,M,91611,1,Y
IND100062,West,M,31484,0,N
IND100063,Midwest,F,29975,2,Y
IND100064,Midwest,F,58557,0,N
IND100065,Southeast,M,38464,1,Y
IND100066,Southeast,F,45155,3,Y
IND100067,Midwest,F,88733,3,Y
IND100068,West,M,91168,0,N
IND100069,Southeast,M,14272,0,N
IND100070,Northeast,M,94455,0,N
IND100071,Southeast,F,95787,2,Y
IND100072,Southeast,F,15382,0,N
IND100073,Southeast,F,70841,0,N
IND100074,Southwest,F,35322,0,N
IND100075,Northeast,F,37161,1,Y
IND100076,Midwest,M,52773,0,N
IND100077,West,F,66919,0,N
IND100078,West,M,68585,0,N
IND100079,Midwest,M,24596,1,Y
IND100080,Southwest,M,71508,1,Y
IND100081,West,M,27370,2,Y
IND100082,Southeast,F,21204,3,Y
IND100083,West,M,48411,0,N
IND100084,Northeast,F,55539,2,Y
IND100085,Northeast,M,78491,2,Y
IND100086,Midwest,M,11449,0,N
IND100087,Southwest,U,37300,0,N
IND100088,Southwest,F,46521,2,Y
IND100089,West,F,67553,2,Y
IND100090,Southwest,M,40303,1,Y
IND100091,Southwest,M,10074,0,N
IND100092,West,M,53455,0,N
IND100093,Northeast,M,39857,3,Y
IND100094,Southeast,M,79867,3,Y
IND100095,Midwest,M,98399,2,Y
IND100096,Northeast,M,15828,0,N
IND100097,Southwest,M,72157,0,N
IND100098,Southwest,M,36756,2,Y
IND100099,West,F,98792,3,Y
IND100100,Midwest,F,40701,2,Y
IND100101,Southeast,M,13616,0,N
IND100102,West,M,66246,0,N
IND100103,West,M,94330,0,N
IND100104,Southeast,M,99178,2,Y
IND100105,Southeast,F,17248,0,N
IND100106,Southwest,M,36173,0,N
IND100107,West,M,27552,2,Y
IND100108,Northeast,F,78394,1,Y
IND100109,Northeast,M,44924,0,N
IND100110,West,F,58335,3,Y
IND100111,Southeast,F,78534,1,Y
IND100112,Midwest,F,86336,0,N
IND100113,Southeast,M,47502,0,N
IND100114,Southeast,M,66419,2,Y
IND100115,Midwest,F,41652,1,Y
IND100116,Southeast,M,86716,0,N
IND100117,Midwest,M,77310,0,N
IND100118,West,M,85218,2,Y
IND100119,Midwest,F,34681,2,Y
IND100120,Northeast,M,80946,2,Y
IND100121,Midwest,M,82704,1,Y
IND100122,Southeast,M,25125,0,N
IND100123,West,M,49541,0,N
IND100124,Midwest,M,11389,3,Y
IND100125,Southeast,M,21929,0,N
IND100126,Midwest,M,69180,1,Y
IND100127,West,F,90841,0,N
IND100128,West,M,89383,0,N
IND100129,Northeast,F,60059,2,Y
IND100130,West,M,20956,1,Y
IND100131,Southeast,M,97421,1,Y
IND100132,West,M,34833,0,N
IND100133,West,M,82359,1,Y
IND100134,Southeast,M,10400,2,Y
IND100135,Southeast,M,17138,1,Y
IND100136,West,M,15746,0,N
IND100137,West,F,30526,3,Y
IND100138,Midwest,M,94444,1,Y
IND100139,West,F,96370,2,Y
IND100140,Northeast,F,59953,1,Y
IND100141,Northeast,M,83782,0,N
IND100142,Northeast,M,67177,0,N
IND100143,Northeast,M,69816,0,N
IND100144,West,M,85461,1,Y
IND100145,Midwest,M,67485,0,N
IND100146,Southeast,M,51676,2,Y
IND100147,West,M,41746,1,Y
IND100148,Southwest,M,10908,2,Y
IND100149,West,M,96965,1,Y
