engagement_id,individual_id,content_id,content_title,content_type,channel,engagement_ts,engagement_depth_pct,completed_flag
ENG300000,IND100125,CNT-05,Scheduling Your First Service,Article,Email,2026-01-19,91,Y
ENG300001,IND100144,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-03-27,51,N
ENG300002,IND100121,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-06-02,6,N
ENG300003,IND100094,CNT-01,T1-2 First Drive Walkthrough,Video,Email,2026-03-25,65,N
ENG300004,IND100028,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-06-28,91,Y
ENG300005,IND100149,CNT-04,Trailering Basics,Video,Web,2026-02-14,99,Y
ENG300006,IND100006,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-05-09,57,N
ENG300007,IND100121,CNT-05,Scheduling Your First Service,Article,Email,2026-05-13,51,N
ENG300008,IND100148,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-05-31,68,N
ENG300009,IND100058,CNT-05,Scheduling Your First Service,Article,Email,2026-02-01,28,N
ENG300010,IND100013,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-06-22,75,N
ENG300011,IND100122,CNT-05,Scheduling Your First Service,Article,Email,2026-04-05,56,N
ENG300012,IND100134,CNT-02,Connecting Your Hotspot,Article,Mobile App,2026-03-08,88,Y
ENG300013,IND100097,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-04-11,80,Y
ENG300014,IND100062,CNT-02,Connecting Your Hotspot,Article,Mobile App,2026-02-18,28,N
ENG300015,IND100146,CNT-01,T1-2 First Drive Walkthrough,Video,Email,2026-06-19,37,N
ENG300016,IND100028,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-05-25,27,N
ENG300017,IND100004,CNT-02,Connecting Your Hotspot,Article,Mobile App,2026-02-14,76,N
ENG300018,IND100080,CNT-04,Trailering Basics,Video,Web,2026-03-15,82,Y
ENG300019,IND100038,CNT-04,Trailering Basics,Video,Web,2026-04-10,53,N
ENG300020,IND100052,CNT-04,Trailering Basics,Video,Web,2026-03-03,85,Y
ENG300021,IND100128,CNT-04,Trailering Basics,Video,Web,2026-02-22,47,N
ENG300022,IND100120,CNT-05,Scheduling Your First Service,Article,Email,2026-04-29,21,N
ENG300023,IND100015,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-03-11,47,N
ENG300024,IND100035,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-01-07,43,N
ENG300025,IND100053,CNT-05,Scheduling Your First Service,Article,Email,2026-05-07,83,Y
ENG300026,IND100083,CNT-05,Scheduling Your First Service,Article,Email,2026-04-26,47,N
ENG300027,IND100122,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-05-14,57,N
ENG300028,IND100096,CNT-05,Scheduling Your First Service,Article,Email,2026-05-07,31,N
ENG300029,IND100044,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-03-05,79,N
ENG300030,IND100136,CNT-04,Trailering Basics,Video,Web,2026-02-01,43,N
ENG300031,IND100139,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-02-02,52,N
ENG300032,IND100067,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-02-05,23,N
ENG300033,IND100123,CNT-05,Scheduling Your First Service,Article,Email,2026-04-27,50,N
ENG300034,IND100063,CNT-02,Connecting Your Hotspot,Article,Mobile App,2026-06-17,75,N
ENG300035,IND100142,CNT-03,myChevrolet App Setup Guide,Guide,Mobile App,2026-04-21,57,N
