individual_id,loyalty_status,loyalty_points,first_purchase_date,is_current_customer
IND100000,Platinum,11111,2024-08-18,Y
IND100001,Bronze,23828,2019-05-02,Y
IND100002,Silver,19067,2023-11-19,Y
IND100003,Gold,18496,2024-01-23,Y
IND100004,None,22695,2020-08-09,Y
IND100005,Gold,11093,2019-01-12,Y
IND100006,Silver,13265,2019-03-16,Y
IND100007,Gold,15265,2023-08-07,Y
IND100008,Gold,13104,2021-05-20,N
IND100009,None,17741,2023-01-15,Y
IND100010,None,13741,2025-01-25,Y
IND100011,None,16875,2021-05-04,Y
IND100012,Gold,13339,2025-11-01,Y
IND100013,Bronze,13354,2019-12-09,Y
IND100014,Platinum,21391,2023-10-19,Y
IND100015,Bronze,12395,2025-04-07,Y
IND100016,None,2575,2021-07-02,Y
IND100017,None,13870,2019-02-14,Y
IND100018,Silver,22017,2021-05-08,Y
IND100019,Platinum,24058,2024-02-23,Y
IND100020,None,8667,2025-02-20,Y
IND100021,Bronze,22271,2025-03-22,Y
IND100022,Silver,5390,2023-01-16,Y
IND100023,None,21365,2020-08-26,Y
IND100024,None,8675,2024-12-25,Y
IND100025,Silver,6265,2024-06-02,Y
IND100026,Bronze,21524,2022-04-05,N
IND100027,Silver,6391,2024-07-29,N
IND100028,Gold,11756,2020-04-07,Y
IND100029,None,10678,2023-06-21,N
IND100030,Bronze,23366,2021-12-18,Y
IND100031,Platinum,18481,2019-09-15,Y
IND100032,None,14303,2019-06-13,Y
IND100033,Bronze,19753,2021-02-20,Y
IND100034,None,15889,2021-08-19,Y
IND100035,Silver,11231,2020-06-01,Y
IND100036,Bronze,5763,2021-11-07,Y
IND100037,None,10369,2024-11-26,Y
IND100038,Bronze,6870,2022-05-08,Y
IND100039,Bronze,13778,2024-05-05,Y
IND100040,None,5725,2021-03-17,Y
IND100041,Bronze,21581,2023-09-05,Y
IND100042,Bronze,6171,2025-05-14,Y
IND100043,Bronze,21599,2023-11-14,Y
IND100044,None,7975,2019-12-12,N
IND100045,None,23322,2020-04-15,Y
IND100046,None,17656,2023-03-31,Y
IND100047,Silver,5767,2023-01-15,Y
IND100048,None,7016,2024-11-03,Y
IND100049,None,22417,2024-04-16,N
IND100050,None,6211,2025-04-15,Y
IND100051,Silver,22735,2025-09-27,Y
IND100052,Gold,3712,2021-03-06,Y
IND100053,Silver,7411,2020-06-24,Y
IND100054,Bronze,20581,2019-07-15,Y
IND100055,Bronze,9583,2019-02-17,Y
IND100056,Silver,21130,2023-11-06,Y
IND100057,Bronze,3104,2025-02-03,Y
IND100058,None,19410,2019-12-26,Y
IND100059,None,19859,2022-06-22,N
IND100060,None,23104,2019-02-11,N
IND100061,Silver,9704,2019-11-14,N
IND100062,Gold,10376,2022-09-02,Y
IND100063,None,18040,2019-05-07,Y
IND100064,None,8587,2023-07-18,Y
IND100065,None,1297,2023-01-29,Y
IND100066,Gold,20975,2020-09-26,Y
IND100067,Silver,13131,2021-09-17,Y
IND100068,Silver,19077,2022-11-18,Y
IND100069,Platinum,3744,2021-11-14,Y
IND100070,None,879,2024-06-13,Y
IND100071,Bronze,23486,2019-08-24,N
IND100072,Bronze,4000,2023-09-03,Y
IND100073,Platinum,6634,2020-03-22,Y
IND100074,Gold,24588,2025-03-31,Y
IND100075,Bronze,21999,2024-01-08,N
IND100076,Bronze,10325,2022-07-16,Y
IND100077,Silver,13348,2024-05-11,Y
IND100078,None,19466,2025-03-09,N
IND100079,Gold,12572,2019-09-07,Y
IND100080,Silver,11395,2019-02-27,N
IND100081,Bronze,20124,2023-12-04,N
IND100082,Bronze,15666,2021-03-08,Y
IND100083,Silver,9616,2021-10-19,Y
IND100084,Platinum,12606,2022-03-15,Y
IND100085,Bronze,9067,2021-09-12,Y
IND100086,None,7694,2023-09-08,Y
IND100087,Platinum,18181,2020-08-31,Y
IND100088,Gold,14605,2025-01-11,Y
IND100089,None,24391,2020-04-09,Y
IND100090,Bronze,11367,2020-10-10,Y
IND100091,Bronze,2246,2025-07-26,Y
IND100092,Bronze,22090,2019-10-04,Y
IND100093,None,7817,2024-03-27,N
IND100094,Platinum,2630,2025-09-27,N
IND100095,Platinum,14715,2019-06-29,Y
IND100096,Bronze,5559,2022-10-14,Y
IND100097,Gold,18574,2023-03-22,Y
IND100098,None,2045,2020-09-25,Y
IND100099,Gold,9374,2022-12-31,Y
IND100100,None,21197,2021-07-17,Y
IND100101,Gold,754,2024-04-14,Y
IND100102,Platinum,10211,2019-10-29,N
IND100103,None,9622,2020-10-23,Y
IND100104,None,16267,2021-10-30,Y
IND100105,None,21974,2023-11-11,N
IND100106,Gold,18676,2021-04-28,Y
IND100107,None,8327,2020-09-03,Y
IND100108,Platinum,1857,2025-01-28,Y
IND100109,Bronze,7055,2022-05-11,Y
IND100110,Bronze,20636,2021-12-22,Y
IND100111,None,4562,2025-07-08,Y
IND100112,Platinum,3667,2020-02-13,Y
IND100113,None,4109,2020-09-24,Y
IND100114,None,3926,2025-04-11,Y
IND100115,Silver,1793,2022-03-08,Y
IND100116,Bronze,16511,2020-04-13,N
IND100117,Gold,20422,2024-01-29,Y
IND100118,None,20718,2025-04-20,Y
IND100119,None,23295,2021-05-06,Y
IND100120,Silver,1352,2024-02-21,Y
IND100121,None,5265,2025-04-28,Y
IND100122,Silver,18848,2019-01-06,N
IND100123,None,21953,2019-06-05,Y
IND100124,None,10851,2020-01-16,Y
IND100125,Bronze,3829,2025-04-23,Y
IND100126,Silver,17989,2022-02-26,Y
IND100127,Silver,1821,2022-03-27,N
IND100128,Bronze,13894,2020-03-19,Y
IND100129,Gold,14591,2019-04-11,Y
IND100130,Gold,18660,2024-02-18,N
IND100131,Bronze,18773,2023-07-08,Y
IND100132,Platinum,17862,2021-07-04,Y
IND100133,Bronze,22357,2022-11-05,Y
IND100134,Bronze,18127,2025-03-17,Y
IND100135,Silver,10067,2021-05-05,Y
