vin,brand,model_name,model_year,model_trim,vehicle_type,body_style,vehicle_segment,vehicle_category,t1_2_program_flag,build_date
1GC796560443699,Chevrolet,Silverado 1500,2026,LTZ,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2024-03-25
1GC494990595776,Chevrolet,Colorado,2025,Elevation,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2025-01-13
1GC872738127919,Chevrolet,Silverado 1500,2026,Custom,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-10-08
1GC727631226152,Chevrolet,Colorado,2026,Elevation,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-03-09
1GC184759613098,GMC,Sierra 1500,2026,LT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-01-24
1GC978060116472,Chevrolet,Silverado 1500,2026,High Country,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-03-30
1GC785025731790,Chevrolet,Silverado 2500HD,2024,High Country,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-06-09
1GC807457874748,Chevrolet,Silverado 2500HD,2024,Custom,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-09-30
1GC215302269407,Chevrolet,Colorado,2026,Custom,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-12-30
1GC505347344105,GMC,Sierra 1500,2024,RST,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-12-31
1GC433718221808,GMC,Canyon,2024,High Country,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-01-14
1GC934088489962,Chevrolet,Colorado,2024,LTZ,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-05-09
1GC679478608071,Chevrolet,Silverado 1500,2026,Denali,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-10-31
1GC840485451942,GMC,Sierra 1500,2026,RST,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2024-05-25
1GC499072778944,GMC,Sierra 1500,2026,RST,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-11-12
1GC304514849606,GMC,Canyon,2026,Denali,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-03-31
1GC599126308313,Chevrolet,Colorado,2025,Elevation,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-01-06
1GC157435530493,GMC,Sierra 2500HD,2026,RST,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-04-28
1GC844868054792,Chevrolet,Silverado 1500,2026,Custom,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-03-11
1GC668497959209,GMC,Canyon,2025,Custom,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-02-09
1GC782278966076,GMC,Canyon,2024,WT,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-01-05
1GC419073371316,GMC,Sierra 1500,2025,LTZ,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2025-12-06
1GC973628221954,Chevrolet,Colorado,2026,LTZ,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2025-04-08
1GC903809009189,GMC,Canyon,2024,Elevation,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-07-26
1GC800545147365,Chevrolet,Colorado,2026,Elevation,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2024-12-03
1GC275174837066,GMC,Sierra 1500,2025,Custom,Pickup Truck,Double Cab,Mid-Size Pickup,Truck,Y,2024-06-18
1GC520048903353,Chevrolet,Silverado 1500,2026,Custom,Pickup Truck,Regular Cab,Mid-Size Pickup,Truck,Y,2024-07-30
1GC139423389208,Chevrolet,Colorado,2025,LT,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-10-28
1GC238860542860,Chevrolet,Silverado 2500HD,2026,Elevation,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2024-07-19
1GC714744057917,GMC,Sierra 2500HD,2024,High Country,Pickup Truck,Regular Cab,Full-Size Pickup,Truck,Y,2024-11-27
1GC770285940316,Chevrolet,Silverado 1500,2026,RST,Pickup Truck,Double Cab,Heavy Duty Pickup,Truck,Y,2025-12-01
1GC970758759189,Chevrolet,Colorado,2024,RST,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2024-03-17
1GC393242822324,Chevrolet,Silverado 1500,2024,WT,Pickup Truck,Crew Cab,Heavy Duty Pickup,Truck,Y,2024-08-20
1GC433413735431,GMC,Canyon,2024,Denali,Pickup Truck,Regular Cab,Heavy Duty Pickup,Truck,Y,2024-08-14
1GC522600230147,GMC,Sierra 1500,2024,Denali,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-02-25
1GC270524223175,Chevrolet,Colorado,2024,AT4,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2024-04-22
1GC216929354801,GMC,Canyon,2024,WT,Pickup Truck,Crew Cab,Full-Size Pickup,Truck,Y,2025-08-29
1GC528134433602,GMC,Sierra 1500,2025,RST,Pickup Truck,Crew Cab,Mid-Size Pickup,Truck,Y,2024-02-08
1GC304218414145,Chevrolet,Silverado 2500HD,2025,LT,Pickup Truck,Double Cab,Full-Size Pickup,Truck,Y,2025-12-19
