case_id,individual_id,vin,case_type,call_driver,channel,case_open_ts,case_close_ts,days_to_close,closed_within_24h,first_contact_resolution,csat_score,region,case_month
CASE900000,IND100024,1GC800545147365,WiFi,Other,Mobile App,2026-01-26 11:00:00,2026-01-26 23:45:03.293222,0.53,Y,Y,3,Midwest,2026-01-01
CASE900001,IND100057,1GC611867076357,WiFi,Other,IVR,2026-01-13 14:00:00,2026-01-13 15:17:08.194834,0.05,Y,Y,5,Northeast,2026-01-01
CASE900002,IND100087,1GC515689507225,WiFi,No / Slow Internet,Phone,2026-01-02 04:00:00,2026-01-02 04:42:48.608526,0.03,Y,Y,5,Southwest,2026-01-01
CASE900003,IND100132,1GC622955025729,OnBoarding,Other,Phone,2026-01-04 19:00:00,2026-01-06 02:15:09.885724,1.3,N,N,4,West,2026-01-01
CASE900004,IND100012,1GC679478608071,WiFi,No / Slow Internet,Phone,2026-01-26 11:00:00,2026-01-26 11:28:48.000000,0.02,Y,Y,4,Southeast,2026-01-01
CASE900005,IND100049,1GC225777235248,Infotainment,App Not Working,Dealer,2026-01-22 07:00:00,2026-01-22 20:27:44.050156,0.56,Y,Y,1,Southwest,2026-01-01
CASE900006,IND100081,1GC465748175295,OnBoarding,Other,Phone,2026-01-19 19:00:00,2026-01-20 09:08:29.062713,0.59,Y,Y,2,West,2026-01-01
CASE900007,IND100143,1GC614555247137,WiFi,No / Slow Internet,Chat,2026-01-01 07:00:00,2026-01-02 00:05:05.533795,0.71,Y,Y,5,Northeast,2026-01-01
CASE900008,IND100005,1GC705016083735,OnBoarding,Other,Phone,2026-01-09 04:00:00,2026-01-09 18:02:02.509357,0.58,Y,Y,3,West,2026-01-01
CASE900009,IND100062,1GC608712495832,OnBoarding,Other,Phone,2026-01-11 03:00:00,2026-01-11 09:13:42.514135,0.26,Y,N,5,West,2026-01-01
CASE900010,IND100130,1GC253533671683,OnBoarding,BBWC,IVR,2026-01-12 14:00:00,2026-01-15 04:33:41.323172,2.61,N,Y,5,West,2026-01-01
CASE900011,IND100001,1GC494990595776,Infotainment,DIC (Driver Information Center),Chat,2026-01-18 13:00:00,2026-01-18 20:45:37.065845,0.32,Y,N,5,Northeast,2026-01-01
CASE900012,IND100008,1GC754295152857,WiFi,No / Slow Internet,Mobile App,2026-01-04 09:00:00,2026-01-06 20:54:38.379007,2.5,N,N,5,Southeast,2026-01-01
CASE900013,IND100125,1GC544591737319,WiFi,No / Slow Internet,Dealer,2026-01-03 16:00:00,2026-01-03 18:39:31.188651,0.11,Y,Y,5,Southeast,2026-01-01
CASE900014,IND100146,1GC398412097607,Infotainment,On Screen Messages,Phone,2026-01-22 09:00:00,2026-01-22 10:51:08.458868,0.08,Y,Y,4,Southeast,2026-01-01
CASE900015,IND100092,1GC501540648016,OnBoarding,Enroll Vehicle,Mobile App,2026-01-15 01:00:00,2026-01-15 02:52:46.422592,0.08,Y,N,5,West,2026-01-01
CASE900016,IND100050,1GC279917382227,Infotainment,App Not Working,Phone,2026-01-24 11:00:00,2026-01-25 17:57:07.804649,1.29,N,Y,3,Southeast,2026-01-01
CASE900017,IND100061,1GC523986585528,Infotainment,On Screen Messages,Chat,2026-01-19 22:00:00,2026-01-22 03:39:52.691602,2.24,N,N,3,West,2026-01-01
CASE900018,IND100028,1GC902509539628,OnBoarding,Other,Phone,2026-01-09 10:00:00,2026-01-09 10:28:48.000000,0.02,Y,Y,5,Southeast,2026-01-01
CASE900019,IND100058,1GC225817298314,OnBoarding,Other,Mobile App,2026-01-03 21:00:00,2026-01-04 23:14:26.941494,1.09,N,Y,3,Midwest,2026-01-01
CASE900020,IND100146,1GC398412097607,OnBoarding,Other,Mobile App,2026-01-16 15:00:00,2026-01-16 16:12:02.715468,0.05,Y,N,4,Southeast,2026-01-01
CASE900021,IND100000,1GC796560443699,WiFi,Hotspot: Data Not Shared / Disabled,Phone,2026-01-03 19:00:00,2026-01-05 05:46:38.291239,1.45,N,Y,4,Midwest,2026-01-01
CASE900022,IND100012,1GC679478608071,OnBoarding,Other,Chat,2026-01-17 09:00:00,2026-01-18 02:11:36.043873,0.72,Y,Y,5,Southeast,2026-01-01
CASE900023,IND100054,1GC734648840762,OnBoarding,Other,Dealer,2026-01-11 13:00:00,2026-01-12 23:04:40.123557,1.42,N,N,5,Southwest,2026-01-01
CASE900024,IND100061,1GC523986585528,OnBoarding,Other,Mobile App,2026-01-20 01:00:00,2026-01-20 12:01:50.485539,0.46,Y,Y,5,West,2026-01-01
