response_id,individual_id,vin,survey_type,survey_date,nps_score,nps_category,csat_score,verbatim_text,dealer_id,region,region_scope
RSPUS700000,IND100062,1GC608712495832,Dealership,2026-05-16,10,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1006,Midwest,US
RSPUS700001,IND100074,1GC152472467520,Service,2026-06-20,2,Detractor,3,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1104,Northeast,US
RSPUS700002,IND100005,1GC705016083735,Sales,2026-05-13,9,Promoter,3,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1177,Southeast,US
RSPUS700003,IND100098,1GC206205311908,Service,2026-04-06,9,Promoter,5,Hotspot works better than my home internet on job sites.,DLR1159,West,US
RSPUS700004,IND100041,1GC849410376451,Sales,2026-03-03,0,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1191,Southwest,US
RSPUS700005,IND100019,1GC668497959209,Sales,2026-04-25,9,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1020,West,US
RSPUS700006,IND100085,1GC181043074697,Dealership,2026-01-12,8,Passive,5,No complaints about the truck. The app is average.,DLR1128,Midwest,US
RSPUS700007,IND100003,1GC727631226152,Service,2026-06-09,10,Promoter,2,Service advisor called me proactively about the software update. Impressed.,DLR1194,West,US
RSPUS700008,IND100104,1GC800875813568,Sales,2026-02-17,5,Detractor,4,Hotspot data will not share to my other devices. Support could not fix it.,DLR1194,Midwest,US
RSPUS700009,IND100122,1GC175999889025,Service,2026-06-15,7,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1058,Southeast,US
RSPUS700010,IND100038,1GC304218414145,Dealership,2026-02-03,3,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1024,West,US
RSPUS700011,IND100011,1GC934088489962,Sales,2026-06-28,3,Detractor,4,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1105,West,US
RSPUS700012,IND100148,1GC495020314274,Dealership,2026-01-16,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1154,Northeast,US
RSPUS700013,IND100073,1GC310545537278,Dealership,2026-06-08,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1187,Midwest,US
RSPUS700014,IND100128,1GC193062670950,Sales,2026-05-07,8,Passive,3,No complaints about the truck. The app is average.,DLR1069,Northeast,US
RSPUS700015,IND100012,1GC679478608071,Service,2026-01-31,9,Promoter,4,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1084,Northeast,US
RSPUS700016,IND100027,1GC139423389208,Sales,2026-05-24,6,Detractor,3,Screen freezes when I use CarPlay. Dealer says it is a known issue.,DLR1168,Northeast,US
RSPUS700017,IND100021,1GC563551416308,Sales,2026-05-04,10,Promoter,4,Truck has been flawless. The app connects instantly every time.,DLR1176,West,US
RSPUS700018,IND100137,1GC534073093248,Service,2026-05-16,7,Passive,3,No complaints about the truck. The app is average.,DLR1043,Southwest,US
RSPUS700019,IND100117,1GC747516660355,Service,2026-06-13,7,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1049,West,US
RSPUS700020,IND100052,1GC808231939751,Service,2026-02-21,8,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1124,Southeast,US
RSPUS700021,IND100027,1GC139423389208,Service,2026-04-23,4,Detractor,3,Hotspot data will not share to my other devices. Support could not fix it.,DLR1123,Northeast,US
RSPUS700022,IND100121,1GC684861941398,Service,2026-04-20,9,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1014,Southwest,US
RSPUS700023,IND100009,1GC505347344105,Sales,2026-03-15,3,Detractor,5,Wifi drops constantly on the highway. Third call to support this month.,DLR1066,Midwest,US
RSPUS700024,IND100079,1GC805508388194,Sales,2026-05-19,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1047,Southwest,US
RSPUS700025,IND100083,1GC250275627916,Dealership,2026-04-09,9,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1108,Northeast,US
RSPUS700026,IND100089,1GC550940297592,Dealership,2026-05-10,9,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1185,West,US
RSPUS700027,IND100022,1GC330368581510,Service,2026-04-06,9,Promoter,5,Service advisor called me proactively about the software update. Impressed.,DLR1024,Northeast,US
RSPUS700028,IND100012,1GC679478608071,Sales,2026-05-01,8,Passive,3,No complaints about the truck. The app is average.,DLR1096,Southeast,US
RSPUS700029,IND100060,1GC701562665610,Dealership,2026-03-30,8,Passive,5,No complaints about the truck. The app is average.,DLR1102,Northeast,US
RSPUS700030,IND100081,1GC465748175295,Sales,2026-03-18,5,Detractor,3,Had to replace the connectivity module twice. Nobody explained why.,DLR1043,West,US
RSPUS700031,IND100105,1GC745201170242,Sales,2026-01-01,8,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1107,Midwest,US
RSPUS700032,IND100132,1GC622955025729,Sales,2026-02-08,1,Detractor,4,Had to replace the connectivity module twice. Nobody explained why.,DLR1113,West,US
RSPUS700033,IND100019,1GC668497959209,Sales,2026-06-19,5,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1039,West,US
RSPUS700034,IND100058,1GC225817298314,Sales,2026-02-25,9,Promoter,4,Whole buying process took under two hours. No pressure at all.,DLR1082,Southeast,US
RSPUS700035,IND100027,1GC139423389208,Dealership,2026-02-11,10,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1031,Southeast,US
RSPUS700036,IND100136,1GC962703291916,Sales,2026-03-06,10,Promoter,2,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1199,Midwest,US
RSPUS700037,IND100130,1GC253533671683,Service,2026-02-21,6,Detractor,4,Had to replace the connectivity module twice. Nobody explained why.,DLR1127,West,US
RSPUS700038,IND100104,1GC800875813568,Dealership,2026-01-02,10,Promoter,5,Truck has been flawless. The app connects instantly every time.,DLR1198,Northeast,US
RSPUS700039,IND100061,1GC523986585528,Sales,2026-04-26,10,Promoter,5,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1064,Southeast,US
RSPUS700040,IND100036,1GC216929354801,Dealership,2026-05-01,8,Passive,5,No complaints about the truck. The app is average.,DLR1166,Southeast,US
RSPUS700041,IND100018,1GC385425003540,Sales,2026-03-21,10,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1183,Northeast,US
RSPUS700042,IND100013,1GC133671300558,Sales,2026-06-22,9,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1053,Northeast,US
RSPUS700043,IND100114,1GC259095504645,Dealership,2026-04-09,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1115,Southwest,US
RSPUS700044,IND100114,1GC259095504645,Service,2026-05-03,7,Passive,3,Vehicle is fine. Setup took longer than expected but got there.,DLR1149,Northeast,US
RSPUS700045,IND100076,1GC364234381989,Dealership,2026-03-01,4,Detractor,5,Screen freezes when I use CarPlay. Dealer says it is a known issue.,DLR1106,Midwest,US
RSPUS700046,IND100003,1GC598632529184,Service,2026-01-11,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1045,Northeast,US
RSPUS700047,IND100027,1GC993138007649,Dealership,2026-04-10,0,Detractor,5,Waited three weeks for a part. Zero communication from the dealer.,DLR1022,Southeast,US
RSPUS700048,IND100031,1GC970758759189,Service,2026-06-10,9,Promoter,5,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1055,West,US
RSPUS700049,IND100001,1GC494990595776,Sales,2026-01-10,8,Passive,4,No complaints about the truck. The app is average.,DLR1004,Northeast,US
RSPUS700050,IND100002,1GC226224180098,Service,2026-04-04,5,Detractor,5,Screen freezes when I use CarPlay. Dealer says it is a known issue.,DLR1121,Southwest,US
RSPUS700051,IND100121,1GC684861941398,Service,2026-03-21,3,Detractor,5,Hotspot data will not share to my other devices. Support could not fix it.,DLR1125,Northeast,US
RSPUS700052,IND100010,1GC196966851360,Sales,2026-04-09,0,Detractor,5,Hotspot data will not share to my other devices. Support could not fix it.,DLR1035,Southwest,US
RSPUS700053,IND100060,1GC701562665610,Dealership,2026-04-09,5,Detractor,5,Wifi drops constantly on the highway. Third call to support this month.,DLR1161,Midwest,US
RSPUS700054,IND100118,1GC488883735797,Sales,2026-02-05,9,Promoter,3,Truck has been flawless. The app connects instantly every time.,DLR1119,Northeast,US
RSPUS700055,IND100006,1GC353110405454,Dealership,2026-03-30,7,Passive,5,No complaints about the truck. The app is average.,DLR1154,West,US
RSPUS700056,IND100064,1GC671246487999,Dealership,2026-05-13,6,Detractor,5,Waited three weeks for a part. Zero communication from the dealer.,DLR1009,West,US
RSPUS700057,IND100086,1GC750123415536,Dealership,2026-05-09,0,Detractor,2,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1108,Southwest,US
RSPUS700058,IND100115,1GC870952855682,Service,2026-04-24,9,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1155,Midwest,US
RSPUS700059,IND100039,1GC702832595213,Service,2026-05-09,4,Detractor,3,Waited three weeks for a part. Zero communication from the dealer.,DLR1124,West,US
RSPUS700060,IND100108,1GC186751865938,Dealership,2026-02-02,6,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1008,Northeast,US
RSPUS700061,IND100103,1GC972258739611,Dealership,2026-03-23,7,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1027,West,US
RSPUS700062,IND100148,1GC495020314274,Service,2026-03-20,10,Promoter,5,Truck has been flawless. The app connects instantly every time.,DLR1040,Southwest,US
RSPUS700063,IND100095,1GC667254333806,Service,2026-01-04,10,Promoter,3,Truck has been flawless. The app connects instantly every time.,DLR1101,Southwest,US
RSPUS700064,IND100002,1GC872738127919,Service,2026-05-09,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1194,Southwest,US
RSPUS700065,IND100041,1GC849410376451,Service,2026-06-24,8,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1013,Northeast,US
RSPUS700066,IND100002,1GC226224180098,Dealership,2026-06-18,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1122,Midwest,US
RSPUS700067,IND100114,1GC259095504645,Sales,2026-04-13,5,Detractor,3,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1141,Midwest,US
RSPUS700068,IND100013,1GC840485451942,Sales,2026-02-03,9,Promoter,5,Hotspot works better than my home internet on job sites.,DLR1169,Northeast,US
RSPUS700069,IND100130,1GC253533671683,Service,2026-04-02,7,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1026,Northeast,US
RSPUS700070,IND100131,1GC932608106538,Sales,2026-06-24,7,Passive,3,Vehicle is fine. Setup took longer than expected but got there.,DLR1034,Midwest,US
RSPUS700071,IND100131,1GC932608106538,Dealership,2026-03-25,10,Promoter,5,Whole buying process took under two hours. No pressure at all.,DLR1019,Northeast,US
RSPUS700072,IND100038,1GC304218414145,Service,2026-04-29,10,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1075,West,US
RSPUS700073,IND100141,1GC541636294918,Service,2026-02-13,9,Promoter,3,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1024,Southwest,US
RSPUS700074,IND100046,1GC448730541126,Service,2026-04-26,9,Promoter,4,Hotspot works better than my home internet on job sites.,DLR1197,Northeast,US
RSPUS700075,IND100081,1GC465748175295,Service,2026-01-16,9,Promoter,3,Whole buying process took under two hours. No pressure at all.,DLR1062,Midwest,US
RSPUS700076,IND100012,1GC679478608071,Dealership,2026-05-16,8,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1150,West,US
RSPUS700077,IND100092,1GC501540648016,Dealership,2026-03-02,10,Promoter,4,Truck has been flawless. The app connects instantly every time.,DLR1063,Southeast,US
RSPUS700078,IND100001,1GC906544694654,Sales,2026-05-25,8,Passive,4,No complaints about the truck. The app is average.,DLR1190,Southeast,US
RSPUS700079,IND100034,1GC522600230147,Service,2026-01-21,10,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1056,West,US
RSPUS700080,IND100025,1GC275174837066,Dealership,2026-02-03,5,Detractor,5,Wifi drops constantly on the highway. Third call to support this month.,DLR1137,Midwest,US
RSPUS700081,IND100097,1GC178884927384,Dealership,2026-02-21,4,Detractor,4,Had to replace the connectivity module twice. Nobody explained why.,DLR1138,Southwest,US
RSPUS700082,IND100074,1GC152472467520,Dealership,2026-02-18,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1055,West,US
RSPUS700083,IND100123,1GC474226661953,Sales,2026-04-21,7,Passive,5,Service was completed on time. Nothing exceptional either way.,DLR1151,West,US
RSPUS700084,IND100019,1GC668497959209,Sales,2026-03-23,0,Detractor,5,Waited three weeks for a part. Zero communication from the dealer.,DLR1049,Midwest,US
RSPUS700085,IND100058,1GC225817298314,Dealership,2026-03-12,10,Promoter,4,Truck has been flawless. The app connects instantly every time.,DLR1169,Midwest,US
RSPUS700086,IND100095,1GC667254333806,Service,2026-01-27,8,Passive,4,No complaints about the truck. The app is average.,DLR1004,Midwest,US
RSPUS700087,IND100136,1GC962703291916,Sales,2026-03-04,8,Passive,3,Vehicle is fine. Setup took longer than expected but got there.,DLR1019,Southeast,US
RSPUS700088,IND100140,1GC537992497753,Sales,2026-02-28,10,Promoter,5,Whole buying process took under two hours. No pressure at all.,DLR1004,Southwest,US
RSPUS700089,IND100044,1GC849033821254,Sales,2026-05-18,6,Detractor,4,Had to replace the connectivity module twice. Nobody explained why.,DLR1100,Northeast,US
RSPUS700090,IND100113,1GC621297612047,Service,2026-06-26,10,Promoter,4,Whole buying process took under two hours. No pressure at all.,DLR1196,Southeast,US
RSPUS700091,IND100065,1GC598221460591,Service,2026-03-22,8,Passive,4,No complaints about the truck. The app is average.,DLR1158,Southwest,US
RSPUS700092,IND100060,1GC701562665610,Service,2026-02-04,10,Promoter,3,Truck has been flawless. The app connects instantly every time.,DLR1003,Midwest,US
RSPUS700093,IND100018,1GC844868054792,Dealership,2026-06-01,7,Passive,3,Service was completed on time. Nothing exceptional either way.,DLR1030,Midwest,US
RSPUS700094,IND100026,1GC491587354002,Sales,2026-01-04,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1026,Northeast,US
RSPUS700095,IND100141,1GC541636294918,Dealership,2026-04-01,3,Detractor,5,Had to replace the connectivity module twice. Nobody explained why.,DLR1001,Southeast,US
RSPUS700096,IND100017,1GC827426324857,Service,2026-06-27,8,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1194,Northeast,US
RSPUS700097,IND100008,1GC754295152857,Service,2026-04-01,10,Promoter,3,Hotspot works better than my home internet on job sites.,DLR1025,Southwest,US
RSPUS700098,IND100050,1GC279917382227,Service,2026-06-05,10,Promoter,4,Whole buying process took under two hours. No pressure at all.,DLR1077,Southwest,US
RSPUS700099,IND100014,1GC599367222451,Dealership,2026-06-25,5,Detractor,5,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1039,Southeast,US
RSPUS700100,IND100005,1GC978060116472,Service,2026-04-12,7,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1040,Midwest,US
RSPUS700101,IND100083,1GC250275627916,Dealership,2026-02-02,9,Promoter,4,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1101,Midwest,US
RSPUS700102,IND100063,1GC788498971673,Service,2026-02-24,7,Passive,3,Service was completed on time. Nothing exceptional either way.,DLR1143,West,US
RSPUS700103,IND100117,1GC747516660355,Sales,2026-03-07,10,Promoter,5,Whole buying process took under two hours. No pressure at all.,DLR1053,Midwest,US
RSPUS700104,IND100038,1GC304218414145,Dealership,2026-03-19,10,Promoter,5,Truck has been flawless. The app connects instantly every time.,DLR1068,Southwest,US
RSPUS700105,IND100101,1GC729736420428,Sales,2026-03-31,4,Detractor,5,Wifi drops constantly on the highway. Third call to support this month.,DLR1135,Northeast,US
RSPUS700106,IND100134,1GC631823942332,Sales,2026-02-23,4,Detractor,4,Nobody showed me how to enroll the vehicle. Figured it out from YouTube.,DLR1161,Southeast,US
RSPUS700107,IND100040,1GC493436726984,Service,2026-04-20,9,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1137,Midwest,US
RSPUS700108,IND100028,1GC902509539628,Service,2026-04-05,7,Passive,4,Vehicle is fine. Setup took longer than expected but got there.,DLR1032,Northeast,US
RSPUS700109,IND100148,1GC495020314274,Sales,2026-04-06,5,Detractor,5,Hotspot data will not share to my other devices. Support could not fix it.,DLR1069,Southwest,US
RSPUS700110,IND100002,1GC872738127919,Dealership,2026-04-19,10,Promoter,4,Truck has been flawless. The app connects instantly every time.,DLR1052,Southwest,US
RSPUS700111,IND100020,1GC361826054325,Dealership,2026-01-20,6,Detractor,4,Hotspot data will not share to my other devices. Support could not fix it.,DLR1164,Southeast,US
RSPUS700112,IND100005,1GC978060116472,Sales,2026-02-19,6,Detractor,4,Waited three weeks for a part. Zero communication from the dealer.,DLR1038,Midwest,US
RSPUS700113,IND100075,1GC353245502819,Service,2026-03-11,7,Passive,3,No complaints about the truck. The app is average.,DLR1065,Northeast,US
RSPUS700114,IND100016,1GC599126308313,Sales,2026-02-10,0,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1040,Southwest,US
RSPUS700115,IND100107,1GC345017405660,Service,2026-06-28,10,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1159,West,US
RSPUS700116,IND100095,1GC667254333806,Dealership,2026-01-06,7,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1154,Southwest,US
RSPUS700117,IND100132,1GC622955025729,Sales,2026-06-01,10,Promoter,5,Hotspot works better than my home internet on job sites.,DLR1024,Midwest,US
RSPUS700118,IND100138,1GC804461704524,Service,2026-05-18,10,Promoter,3,Hotspot works better than my home internet on job sites.,DLR1061,Northeast,US
RSPUS700119,IND100088,1GC245144601130,Service,2026-01-17,10,Promoter,4,Truck has been flawless. The app connects instantly every time.,DLR1007,West,US
RSPUS700120,IND100016,1GC599126308313,Service,2026-01-25,9,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1006,Northeast,US
RSPUS700121,IND100133,1GC412182824081,Service,2026-05-24,9,Promoter,3,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1069,Southeast,US
