participation_id,individual_id,dealer_id,training_id,training_name,training_date,completed_flag
TRP200000,IND100144,DLR1195,TRN-03,Infotainment Troubleshooting,2026-05-29,Y
TRP200001,IND100008,DLR1036,TRN-03,Infotainment Troubleshooting,2026-04-17,Y
TRP200002,IND100080,DLR1007,TRN-01,Dealer Delivery Excellence,2026-05-17,Y
TRP200003,IND100053,DLR1129,TRN-01,Dealer Delivery Excellence,2026-01-25,Y
TRP200004,IND100036,DLR1171,TRN-03,Infotainment Troubleshooting,2026-01-15,Y
TRP200005,IND100101,DLR1070,TRN-03,Infotainment Troubleshooting,2026-04-27,N
TRP200006,IND100076,DLR1030,TRN-01,Dealer Delivery Excellence,2026-03-25,Y
TRP200007,IND100144,DLR1170,TRN-01,Dealer Delivery Excellence,2026-03-30,Y
TRP200008,IND100145,DLR1183,TRN-01,Dealer Delivery Excellence,2026-04-06,Y
TRP200009,IND100138,DLR1017,TRN-02,Connected Services Onboarding,2026-05-21,Y
TRP200010,IND100098,DLR1156,TRN-02,Connected Services Onboarding,2026-02-05,Y
TRP200011,IND100035,DLR1159,TRN-03,Infotainment Troubleshooting,2026-01-10,Y
TRP200012,IND100020,DLR1174,TRN-03,Infotainment Troubleshooting,2026-03-05,Y
TRP200013,IND100088,DLR1010,TRN-03,Infotainment Troubleshooting,2026-02-18,Y
TRP200014,IND100025,DLR1141,TRN-01,Dealer Delivery Excellence,2026-06-08,Y
TRP200015,IND100059,DLR1011,TRN-02,Connected Services Onboarding,2026-02-21,Y
TRP200016,IND100087,DLR1071,TRN-01,Dealer Delivery Excellence,2026-01-25,Y
TRP200017,IND100101,DLR1128,TRN-03,Infotainment Troubleshooting,2026-05-04,Y
TRP200018,IND100007,DLR1079,TRN-02,Connected Services Onboarding,2026-02-03,Y
TRP200019,IND100069,DLR1156,TRN-03,Infotainment Troubleshooting,2026-02-27,N
TRP200020,IND100125,DLR1009,TRN-02,Connected Services Onboarding,2026-02-06,Y
TRP200021,IND100091,DLR1179,TRN-01,Dealer Delivery Excellence,2026-03-05,Y
TRP200022,IND100096,DLR1104,TRN-03,Infotainment Troubleshooting,2026-01-23,Y
TRP200023,IND100047,DLR1172,TRN-02,Connected Services Onboarding,2026-02-25,Y
TRP200024,IND100149,DLR1050,TRN-03,Infotainment Troubleshooting,2026-04-19,Y
TRP200025,IND100097,DLR1135,TRN-03,Infotainment Troubleshooting,2026-01-14,N
TRP200026,IND100075,DLR1153,TRN-01,Dealer Delivery Excellence,2026-02-21,N
TRP200027,IND100018,DLR1157,TRN-01,Dealer Delivery Excellence,2026-06-17,Y
TRP200028,IND100068,DLR1025,TRN-01,Dealer Delivery Excellence,2026-02-11,N
TRP200029,IND100097,DLR1055,TRN-01,Dealer Delivery Excellence,2026-03-07,Y
TRP200030,IND100039,DLR1132,TRN-03,Infotainment Troubleshooting,2026-04-10,Y
TRP200031,IND100099,DLR1104,TRN-03,Infotainment Troubleshooting,2026-06-03,Y
TRP200032,IND100092,DLR1139,TRN-02,Connected Services Onboarding,2026-06-07,Y
TRP200033,IND100023,DLR1058,TRN-01,Dealer Delivery Excellence,2026-04-26,Y
TRP200034,IND100078,DLR1088,TRN-01,Dealer Delivery Excellence,2026-06-27,N
TRP200035,IND100092,DLR1161,TRN-02,Connected Services Onboarding,2026-06-02,Y
TRP200036,IND100026,DLR1050,TRN-02,Connected Services Onboarding,2026-04-14,Y
TRP200037,IND100022,DLR1196,TRN-01,Dealer Delivery Excellence,2026-06-07,Y
TRP200038,IND100110,DLR1036,TRN-01,Dealer Delivery Excellence,2026-02-10,Y
TRP200039,IND100142,DLR1009,TRN-02,Connected Services Onboarding,2026-04-16,Y
TRP200040,IND100131,DLR1088,TRN-03,Infotainment Troubleshooting,2026-02-01,Y
TRP200041,IND100026,DLR1186,TRN-02,Connected Services Onboarding,2026-02-10,Y
TRP200042,IND100022,DLR1000,TRN-01,Dealer Delivery Excellence,2026-01-03,Y
TRP200043,IND100141,DLR1162,TRN-02,Connected Services Onboarding,2026-02-14,Y
TRP200044,IND100083,DLR1086,TRN-01,Dealer Delivery Excellence,2026-03-02,Y
TRP200045,IND100003,DLR1101,TRN-02,Connected Services Onboarding,2026-06-04,Y
TRP200046,IND100105,DLR1037,TRN-02,Connected Services Onboarding,2026-03-03,Y
TRP200047,IND100021,DLR1099,TRN-02,Connected Services Onboarding,2026-01-08,N
TRP200048,IND100143,DLR1181,TRN-03,Infotainment Troubleshooting,2026-06-23,Y
TRP200049,IND100146,DLR1185,TRN-01,Dealer Delivery Excellence,2026-06-22,Y
TRP200050,IND100043,DLR1193,TRN-03,Infotainment Troubleshooting,2026-03-16,Y
TRP200051,IND100097,DLR1113,TRN-03,Infotainment Troubleshooting,2026-01-07,Y
TRP200052,IND100035,DLR1105,TRN-01,Dealer Delivery Excellence,2026-03-28,Y
TRP200053,IND100077,DLR1198,TRN-02,Connected Services Onboarding,2026-02-09,Y
TRP200054,IND100126,DLR1054,TRN-02,Connected Services Onboarding,2026-02-02,Y
TRP200055,IND100016,DLR1050,TRN-01,Dealer Delivery Excellence,2026-02-05,Y
TRP200056,IND100111,DLR1165,TRN-01,Dealer Delivery Excellence,2026-04-03,Y
TRP200057,IND100107,DLR1030,TRN-02,Connected Services Onboarding,2026-01-11,Y
TRP200058,IND100123,DLR1062,TRN-02,Connected Services Onboarding,2026-06-24,Y
TRP200059,IND100092,DLR1117,TRN-01,Dealer Delivery Excellence,2026-03-17,Y
TRP200060,IND100063,DLR1083,TRN-02,Connected Services Onboarding,2026-01-27,Y
TRP200061,IND100126,DLR1146,TRN-03,Infotainment Troubleshooting,2026-01-29,Y
TRP200062,IND100050,DLR1096,TRN-03,Infotainment Troubleshooting,2026-06-16,Y
TRP200063,IND100027,DLR1157,TRN-02,Connected Services Onboarding,2026-01-20,N
TRP200064,IND100077,DLR1195,TRN-01,Dealer Delivery Excellence,2026-03-24,N
TRP200065,IND100101,DLR1026,TRN-01,Dealer Delivery Excellence,2026-02-25,Y
TRP200066,IND100097,DLR1135,TRN-02,Connected Services Onboarding,2026-06-16,Y
TRP200067,IND100112,DLR1037,TRN-02,Connected Services Onboarding,2026-05-25,Y
TRP200068,IND100110,DLR1112,TRN-02,Connected Services Onboarding,2026-05-27,Y
TRP200069,IND100034,DLR1146,TRN-03,Infotainment Troubleshooting,2026-03-20,Y
TRP200070,IND100082,DLR1054,TRN-02,Connected Services Onboarding,2026-06-22,Y
TRP200071,IND100051,DLR1163,TRN-03,Infotainment Troubleshooting,2026-01-12,N
TRP200072,IND100080,DLR1025,TRN-02,Connected Services Onboarding,2026-02-24,Y
TRP200073,IND100101,DLR1011,TRN-01,Dealer Delivery Excellence,2026-02-21,Y
TRP200074,IND100074,DLR1099,TRN-02,Connected Services Onboarding,2026-02-04,Y
