vin,vehicle_mileage,vehicle_segment,body_style,vehicle_category,mileage_asof_date
1GC796560443699,68872,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC494990595776,21135,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC872738127919,34538,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC727631226152,77620,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC184759613098,81151,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC978060116472,78567,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC785025731790,27205,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC807457874748,71760,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC215302269407,79599,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC505347344105,83158,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC433718221808,2266,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC934088489962,63451,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC679478608071,84725,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC840485451942,65114,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC499072778944,20203,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC304514849606,64938,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC599126308313,9393,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC157435530493,41111,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC844868054792,53416,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC668497959209,39070,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC782278966076,59635,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC419073371316,20799,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC973628221954,51725,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC903809009189,54987,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC800545147365,54055,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC275174837066,24947,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC520048903353,26304,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC139423389208,22284,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC238860542860,39520,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC714744057917,50013,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC770285940316,31134,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC970758759189,35143,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC393242822324,24701,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC433413735431,18993,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC522600230147,56053,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC270524223175,69456,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC216929354801,25064,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC528134433602,73218,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC304218414145,48747,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC702832595213,14670,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC493436726984,31426,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC849410376451,1134,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC730238591801,3809,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC381129977243,28902,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC849033821254,38902,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC824287921746,67889,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC448730541126,11848,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC359495293536,71410,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC714245953576,20317,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC225777235248,12188,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC279917382227,59640,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC106626042775,65931,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC808231939751,51615,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC698365770932,10277,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC734648840762,10246,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC802656127918,33460,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC513024197984,38575,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC611867076357,84882,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC225817298314,24707,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC203077066182,16773,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC701562665610,80428,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC523986585528,13509,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC608712495832,2731,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC788498971673,36226,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC671246487999,34391,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC598221460591,52861,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC603286444670,74668,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC373555088256,79330,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC127736051111,24974,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC493045650308,83379,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC293126205537,53959,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC467675779351,6384,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC868062765940,79798,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC310545537278,12160,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC152472467520,50236,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC353245502819,67317,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC364234381989,21577,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC695724863253,23368,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC601328937106,40736,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC805508388194,75269,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC697882186293,19394,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC465748175295,56561,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC832618346198,38743,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC250275627916,9950,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC120440865820,60569,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC181043074697,70848,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC750123415536,49141,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC515689507225,15402,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC245144601130,13658,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC550940297592,36285,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC237080892441,43292,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC726688337569,47159,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC501540648016,21088,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC442919103486,42814,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC371360880232,25434,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC667254333806,58480,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC425631349497,67802,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC178884927384,55652,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC206205311908,605,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC965707898093,84327,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC917722621635,2508,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC729736420428,84951,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC339282965313,3184,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC972258739611,44140,Mid-Size Pickup,Double Cab,Truck,2026-06-30
1GC800875813568,9454,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC745201170242,8544,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC504425351928,58246,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC345017405660,62002,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC186751865938,10490,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC912342156888,83028,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC510198660849,27578,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC282127028315,27398,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC375360961735,25594,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC621297612047,39472,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC259095504645,15526,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC870952855682,36393,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC782667576850,18243,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC747516660355,4844,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC488883735797,31658,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC664577956631,57306,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC625688172020,64981,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC684861941398,30357,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC175999889025,27856,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC474226661953,67040,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC137452756475,58060,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC544591737319,70814,Mid-Size Pickup,Crew Cab,Truck,2026-06-30
1GC396875091099,77065,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC230071769979,69894,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC193062670950,79633,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC628880114959,35708,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC253533671683,33849,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC932608106538,27670,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC622955025729,20376,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC412182824081,63775,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC631823942332,60871,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC120523483926,68217,Heavy Duty Pickup,Regular Cab,Truck,2026-06-30
1GC962703291916,14644,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC534073093248,42011,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC804461704524,19255,Heavy Duty Pickup,Double Cab,Truck,2026-06-30
1GC174456999930,75961,Full-Size Pickup,Crew Cab,Truck,2026-06-30
1GC537992497753,23096,Mid-Size Pickup,Regular Cab,Truck,2026-06-30
1GC541636294918,12660,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC944043809476,48653,Full-Size Pickup,Double Cab,Truck,2026-06-30
1GC614555247137,74781,Heavy Duty Pickup,Crew Cab,Truck,2026-06-30
1GC526140460950,77879,Full-Size Pickup,Regular Cab,Truck,2026-06-30
1GC340278096782,8620,Full-Size Pickup,Double Cab,Truck,2026-06-30
