ownership_id,individual_id,vin,ownership_status,ownership_sequence,ownership_start_date,ownership_end_date,purchase_type,dealer_id
OWN500000,IND100000,1GC796560443699,Active,1,2024-12-04,,Purchase,DLR1078
OWN500001,IND100001,1GC494990595776,Active,1,2024-09-18,,Finance,DLR1150
OWN500002,IND100002,1GC872738127919,Active,1,2025-07-25,,Purchase,DLR1092
OWN500003,IND100003,1GC727631226152,Active,1,2025-05-15,,Purchase,DLR1041
OWN500004,IND100004,1GC184759613098,Active,1,2025-08-30,,Purchase,DLR1017
OWN500005,IND100005,1GC978060116472,Active,1,2024-02-05,,Finance,DLR1164
OWN500006,IND100006,1GC785025731790,Active,1,2025-11-13,,Lease,DLR1027
OWN500007,IND100007,1GC807457874748,Sold,1,2026-01-04,2027-02-04,Finance,DLR1191
OWN500008,IND100008,1GC215302269407,Active,1,2025-11-29,,Purchase,DLR1094
OWN500009,IND100009,1GC505347344105,Active,1,2025-06-08,,Finance,DLR1001
OWN500010,IND100010,1GC433718221808,Active,1,2025-03-29,,Finance,DLR1074
OWN500011,IND100011,1GC934088489962,Active,1,2025-07-22,,Purchase,DLR1186
OWN500012,IND100012,1GC679478608071,Active,1,2025-04-26,,Purchase,DLR1057
OWN500013,IND100013,1GC840485451942,Active,1,2024-11-30,,Finance,DLR1069
OWN500014,IND100014,1GC499072778944,Active,1,2025-03-24,,Purchase,DLR1026
OWN500015,IND100015,1GC304514849606,Active,1,2025-02-21,,Lease,DLR1127
OWN500016,IND100016,1GC599126308313,Active,1,2025-06-25,,Purchase,DLR1001
OWN500017,IND100017,1GC157435530493,Traded-In,1,2024-06-18,2026-01-25,Purchase,DLR1129
OWN500018,IND100018,1GC844868054792,Active,1,2025-11-02,,Lease,DLR1178
OWN500019,IND100019,1GC668497959209,Active,1,2025-11-03,,Purchase,DLR1187
OWN500020,IND100020,1GC782278966076,Active,1,2025-01-14,,Finance,DLR1117
OWN500021,IND100021,1GC419073371316,Active,1,2024-01-22,,Purchase,DLR1042
OWN500022,IND100022,1GC973628221954,Active,1,2024-03-24,,Purchase,DLR1084
OWN500023,IND100023,1GC903809009189,Active,1,2025-06-05,,Lease,DLR1172
OWN500024,IND100024,1GC800545147365,Active,1,2024-07-14,,Purchase,DLR1011
OWN500025,IND100025,1GC275174837066,Active,1,2026-01-13,,Finance,DLR1122
OWN500026,IND100026,1GC520048903353,Active,1,2024-01-26,,Purchase,DLR1185
OWN500027,IND100027,1GC139423389208,Active,1,2024-02-10,,Purchase,DLR1023
OWN500028,IND100028,1GC238860542860,Active,1,2024-06-08,,Finance,DLR1170
OWN500029,IND100029,1GC714744057917,Lease Ended,1,2025-07-07,2026-10-13,Purchase,DLR1041
OWN500030,IND100030,1GC770285940316,Active,1,2024-11-17,,Finance,DLR1017
OWN500031,IND100031,1GC970758759189,Sold,1,2025-04-06,2027-01-28,Finance,DLR1034
OWN500032,IND100032,1GC393242822324,Active,1,2024-09-17,,Finance,DLR1099
OWN500033,IND100033,1GC433413735431,Active,1,2026-02-04,,Lease,DLR1076
OWN500034,IND100034,1GC522600230147,Active,1,2025-01-11,,Purchase,DLR1025
OWN500035,IND100035,1GC270524223175,Sold,1,2026-02-24,2026-11-02,Lease,DLR1115
OWN500036,IND100036,1GC216929354801,Active,1,2024-10-13,,Lease,DLR1160
OWN500037,IND100037,1GC528134433602,Traded-In,1,2025-05-21,2027-01-12,Lease,DLR1186
OWN500038,IND100038,1GC304218414145,Active,1,2025-09-10,,Lease,DLR1065
OWN500039,IND100039,1GC702832595213,Active,1,2024-11-02,,Lease,DLR1092
OWN500040,IND100040,1GC493436726984,Active,1,2024-10-22,,Lease,DLR1064
OWN500041,IND100041,1GC849410376451,Active,1,2025-03-01,,Finance,DLR1018
OWN500042,IND100042,1GC730238591801,Active,1,2026-02-13,,Lease,DLR1077
OWN500043,IND100043,1GC381129977243,Active,1,2025-08-29,,Finance,DLR1151
OWN500044,IND100044,1GC849033821254,Active,1,2026-02-15,,Finance,DLR1185
OWN500045,IND100045,1GC824287921746,Traded-In,1,2026-03-04,2026-10-16,Lease,DLR1020
OWN500046,IND100046,1GC448730541126,Active,1,2026-01-09,,Purchase,DLR1123
OWN500047,IND100047,1GC359495293536,Active,1,2024-01-31,,Lease,DLR1016
OWN500048,IND100048,1GC714245953576,Active,1,2024-01-22,,Finance,DLR1047
OWN500049,IND100049,1GC225777235248,Active,1,2025-02-01,,Purchase,DLR1113
OWN500050,IND100050,1GC279917382227,Active,1,2025-09-21,,Finance,DLR1197
OWN500051,IND100051,1GC106626042775,Active,1,2024-10-25,,Purchase,DLR1134
OWN500052,IND100052,1GC808231939751,Active,1,2024-05-08,,Lease,DLR1042
OWN500053,IND100053,1GC698365770932,Lease Ended,1,2025-03-05,2025-10-29,Finance,DLR1192
OWN500054,IND100054,1GC734648840762,Active,1,2025-11-12,,Finance,DLR1037
OWN500055,IND100055,1GC802656127918,Active,1,2025-04-08,,Finance,DLR1074
OWN500056,IND100056,1GC513024197984,Active,1,2025-02-08,,Finance,DLR1096
OWN500057,IND100057,1GC611867076357,Active,1,2025-08-06,,Lease,DLR1121
OWN500058,IND100058,1GC225817298314,Active,1,2024-04-12,,Finance,DLR1083
OWN500059,IND100059,1GC203077066182,Active,1,2024-06-25,,Purchase,DLR1167
OWN500060,IND100060,1GC701562665610,Active,1,2025-08-07,,Lease,DLR1174
OWN500061,IND100061,1GC523986585528,Active,1,2025-02-09,,Purchase,DLR1092
OWN500062,IND100062,1GC608712495832,Active,1,2025-05-16,,Finance,DLR1133
OWN500063,IND100063,1GC788498971673,Active,1,2024-04-19,,Lease,DLR1008
OWN500064,IND100064,1GC671246487999,Active,1,2026-01-15,,Purchase,DLR1042
OWN500065,IND100065,1GC598221460591,Active,1,2025-01-28,,Finance,DLR1068
OWN500066,IND100066,1GC603286444670,Sold,1,2024-06-07,2025-07-14,Finance,DLR1049
OWN500067,IND100067,1GC373555088256,Active,1,2024-03-05,,Finance,DLR1176
OWN500068,IND100068,1GC127736051111,Active,1,2025-05-22,,Lease,DLR1072
OWN500069,IND100069,1GC493045650308,Active,1,2024-01-29,,Finance,DLR1095
